region,county.fips.character,county.name,state.name,state.fips.character,state.abb
1001,01001,autauga,alabama,01,AL
1003,01003,baldwin,alabama,01,AL
1005,01005,barbour,alabama,01,AL
1007,01007,bibb,alabama,01,AL
1009,01009,blount,alabama,01,AL
1011,01011,bullock,alabama,01,AL
1013,01013,butler,alabama,01,AL
1015,01015,calhoun,alabama,01,AL
1017,01017,chambers,alabama,01,AL
1019,01019,cherokee,alabama,01,AL
1021,01021,chilton,alabama,01,AL
1023,01023,choctaw,alabama,01,AL
1025,01025,clarke,alabama,01,AL
1027,01027,clay,alabama,01,AL
1029,01029,cleburne,alabama,01,AL
1031,01031,coffee,alabama,01,AL
1033,01033,colbert,alabama,01,AL
1035,01035,conecuh,alabama,01,AL
1037,01037,coosa,alabama,01,AL
1039,01039,covington,alabama,01,AL
1041,01041,crenshaw,alabama,01,AL
1043,01043,cullman,alabama,01,AL
1045,01045,dale,alabama,01,AL
1047,01047,dallas,alabama,01,AL
1049,01049,dekalb,alabama,01,AL
1051,01051,elmore,alabama,01,AL
1053,01053,escambia,alabama,01,AL
1055,01055,etowah,alabama,01,AL
1057,01057,fayette,alabama,01,AL
1059,01059,franklin,alabama,01,AL
1061,01061,geneva,alabama,01,AL
1063,01063,greene,alabama,01,AL
1065,01065,hale,alabama,01,AL
1067,01067,henry,alabama,01,AL
1069,01069,houston,alabama,01,AL
1071,01071,jackson,alabama,01,AL
1073,01073,jefferson,alabama,01,AL
1075,01075,lamar,alabama,01,AL
1077,01077,lauderdale,alabama,01,AL
1079,01079,lawrence,alabama,01,AL
1081,01081,lee,alabama,01,AL
1083,01083,limestone,alabama,01,AL
1085,01085,lowndes,alabama,01,AL
1087,01087,macon,alabama,01,AL
1089,01089,madison,alabama,01,AL
1091,01091,marengo,alabama,01,AL
1093,01093,marion,alabama,01,AL
1095,01095,marshall,alabama,01,AL
1097,01097,mobile,alabama,01,AL
1099,01099,monroe,alabama,01,AL
1101,01101,montgomery,alabama,01,AL
1103,01103,morgan,alabama,01,AL
1105,01105,perry,alabama,01,AL
1107,01107,pickens,alabama,01,AL
1109,01109,pike,alabama,01,AL
1111,01111,randolph,alabama,01,AL
1113,01113,russell,alabama,01,AL
1115,01115,st. clair,alabama,01,AL
1117,01117,shelby,alabama,01,AL
1119,01119,sumter,alabama,01,AL
1121,01121,talladega,alabama,01,AL
1123,01123,tallapoosa,alabama,01,AL
1125,01125,tuscaloosa,alabama,01,AL
1127,01127,walker,alabama,01,AL
1129,01129,washington,alabama,01,AL
1131,01131,wilcox,alabama,01,AL
1133,01133,winston,alabama,01,AL
2013,02013,aleutians east,alaska,02,AK
2016,02016,aleutians west census area,alaska,02,AK
2020,02020,anchorage,alaska,02,AK
2050,02050,bethel,alaska,02,AK
2060,02060,bristol bay,alaska,02,AK
2068,02068,denali,alaska,02,AK
2070,02070,dillingham,alaska,02,AK
2090,02090,fairbanks north star,alaska,02,AK
2100,02100,haines,alaska,02,AK
2105,02105,hoonah-angoon,alaska,02,AK
2110,02110,juneau,alaska,02,AK
2122,02122,kenai peninsula,alaska,02,AK
2130,02130,ketchikan gateway,alaska,02,AK
2150,02150,kodiak island,alaska,02,AK
2164,02164,lake and peninsula,alaska,02,AK
2170,02170,matanuska-susitna,alaska,02,AK
2180,02180,nome,alaska,02,AK
2185,02185,north slope,alaska,02,AK
2188,02188,northwest arctic,alaska,02,AK
2195,02195,petersburg,alaska,02,AK
2198,02198,prince of wales-hyder,alaska,02,AK
2220,02220,sitka,alaska,02,AK
2230,02230,skagway,alaska,02,AK
2240,02240,southeast fairbanks,alaska,02,AK
2261,02261,valdez-cordova,alaska,02,AK
2270,02270,wade hampton,alaska,02,AK
2275,02275,wrangell,alaska,02,AK
2282,02282,yakutat,alaska,02,AK
2290,02290,yukon-koyukuk,alaska,02,AK
4001,04001,apache,arizona,04,AZ
4003,04003,cochise,arizona,04,AZ
4005,04005,coconino,arizona,04,AZ
4007,04007,gila,arizona,04,AZ
4009,04009,graham,arizona,04,AZ
4011,04011,greenlee,arizona,04,AZ
4012,04012,la paz,arizona,04,AZ
4013,04013,maricopa,arizona,04,AZ
4015,04015,mohave,arizona,04,AZ
4017,04017,navajo,arizona,04,AZ
4019,04019,pima,arizona,04,AZ
4021,04021,pinal,arizona,04,AZ
4023,04023,santa cruz,arizona,04,AZ
4025,04025,yavapai,arizona,04,AZ
4027,04027,yuma,arizona,04,AZ
5001,05001,arkansas,arkansas,05,AR
5003,05003,ashley,arkansas,05,AR
5005,05005,baxter,arkansas,05,AR
5007,05007,benton,arkansas,05,AR
5009,05009,boone,arkansas,05,AR
5011,05011,bradley,arkansas,05,AR
5013,05013,calhoun,arkansas,05,AR
5015,05015,carroll,arkansas,05,AR
5017,05017,chicot,arkansas,05,AR
5019,05019,clark,arkansas,05,AR
5021,05021,clay,arkansas,05,AR
5023,05023,cleburne,arkansas,05,AR
5025,05025,cleveland,arkansas,05,AR
5027,05027,columbia,arkansas,05,AR
5029,05029,conway,arkansas,05,AR
5031,05031,craighead,arkansas,05,AR
5033,05033,crawford,arkansas,05,AR
5035,05035,crittenden,arkansas,05,AR
