region,value
1001,54590
1003,183226
1005,27469
1007,22769
1009,57466
1011,10779
1013,20730
1015,117834
1017,34228
1019,25917
1021,43611
1023,13838
1025,25768
1027,13828
1029,14905
1031,49966
1033,54451
1035,13188
1037,11305
1039,37803
1041,13971
1043,80403
1045,50129
1047,43572
1049,70949
1051,79330
1053,38122
1055,104317
1057,17219
1059,31664
1061,26769
1063,9067
1065,15750
1067,17275
1069,101459
1071,53279
1073,658464
1075,14513
1077,92528
1079,34148
1081,140938
1083,83313
1085,11304
1087,21214
1089,334661
1091,20909
1093,30641
1095,93070
1097,412297
1099,22993
1101,229376
1103,119330
1105,10525
1107,19646
1109,32750
1111,22843
1113,53938
1115,83530
1117,195237
1119,13669
1121,82194
1123,41534
1125,194254
1127,67016
1129,17407
1131,11706
1133,24432
2013,3114
2016,5507
2020,291470
2050,17184
2060,929
2068,1917
2070,4887
2090,97523
2100,2500
2105,2153
2110,31636
2122,55474
2130,13525
2150,13710
2164,1551
2170,89319
2180,9580
2185,9317
2188,7601
2195,3822
2198,5603
2220,8909
2230,1050
2240,7039
2261,9614
2270,7556
2275,2368
2282,644
2290,5637
4001,71618
4003,131118
4005,134011
4007,53436
4009,37115
4011,8592
4012,20460
4013,3841819
4015,201216
4017,107415
4019,981048
4021,368374
4023,47057
4025,211280
4027,196420
5001,19029
5003,21811
5005,41387
5007,222028
5009,37032
5011,11510
5013,5373
5015,27321
5017,11759
5019,23050
5021,15981
5023,25849
5025,8685
5027,24644
5029,21203
5031,96709
5033,61670
5035,50618
5037,17891
5039,8122
5041,12922
5043,18615
5045,113730
5047,18110
5049,12301
5051,96249
5053,17852
5055,42224
5057,22548
5059,33011
5061,13790
5063,36572
5065,13614
5067,17885
5069,76836
5071,25554
5073,7618
5075,17314
5077,10430
5079,14167
5081,13068
5083,22352
5085,68274
5087,15674
5089,16712
5091,43449
5093,46388
5095,8145
5097,9453
5099,9003
5101,8286
5103,25894
5105,10413
5107,21646
5109,11261
5111,24506
5113,20535
5115,61853
5117,8659
5119,383185
5121,17992
5123,28089
5125,107498
5127,11170
5129,8146
5131,125795
5133,16978
5135,17278
5137,12480
5139,41594
5141,17223
5143,204057
5145,77007
5147,7262
5149,22033
6001,1515136
6003,1197
6005,37764
6007,220101
6009,45507
6011,21329
6013,1052047
6015,28496
6017,180441
6019,930517
6021,28078
6023,134317
6025,173487
6027,18474
6029,839153
6031,151982
6033,64360
6035,34628
6037,9840024
6039,150615
6041,252759
6043,18193
6045,87577
6047,256398
6049,9545
6051,14181
6053,416199
6055,136644
6057,98521
6059,3021840
6061,350074
6063,19926
6065,2192982
6067,1422348
6069,55467
6071,2041029
6073,3100500
6075,807755
6077,687036
6079,270121
6081,721183
6083,423594
6085,1788393
6087,262340
6089,177693
6091,3163
6093,44673
6095,414209
6097,483456
6099,515115
6101,94615
6103,63200
6105,13693
6107,441877
6109,55205
6111,822794
6113,200873
6115,72244
8001,442996
8003,15750
8005,574357
8007,12109
